id,name,height,weight
1,Alice Johnson,160,55
2,Bob Smith,175,70
3,Charlie Brown,180,80
4,Diana Prince,165,60
5,Edward Elric,170,75
6,Frida Kahlo,158,50
7,George Washington,185,90
8,Hannah Arendt,162,58
9,Isaac Newton,178,85
10,Jane Austen,160,54
11,Kevin Bacon,172,68
12,Linda Hamilton,167,62
13,Michael Jordan,193,98
14,Nina Simone,164,59
15,Oscar Wilde,175,72
16,Paula Abdul,160,56
17,Quentin Tarantino,180,78
18,Rachel Green,165,61
19,Steve Jobs,182,82
20,Tina Turner,170,65
21,Uma Thurman,175,70
22,Vincent Van Gogh,168,64
23,Winston Churchill,180,85
24,Xena Warrior,170,75
25,Yara Shahidi,162,57
26,Zach Galifianakis,175,80
27,Amy Adams,165,59
28,Ben Affleck,180,90
29,Catherine Zeta-Jones,170,65
30,Denzel Washington,183,88
31,Eva Mendes,160,54
32,Freddie Mercury,175,72
33,Gwyneth Paltrow,168,60
34,Hugh Jackman,182,85
35,Ian McKellen,178,80
36,Jessica Alba,165,58
37,Keanu Reeves,180,78
38,Liam Neeson,185,90
39,Mila Kunis,160,50
40,Nicolas Cage,175,70
41,Oprah Winfrey,170,75
42,Paul Rudd,168,64
43,Queen Latifah,175,80
44,Ryan Reynolds,182,85
45,Sandra Bullock,165,61
46,Tom Hanks,180,78
47,Uma Thurman,170,65
48,Vince Vaughn,175,72
49,Will Smith,183,88
50,Xander Cage,180,80

